match_id,over,ball,batsman,bowler,runs,dismissal,venue
1,1,1,Rayudu,Archer,2,No,M Chinnaswamy
1,1,2,Mishra,Jamieson,4,No,Eden Gardens
1,1,3,Rahul,Jamieson,3,No,Eden Gardens
1,1,4,Ruturaj,Shami,0,LBW,Wankhede
1,1,5,Rahul,Rahul,4,No,Wankhede
1,1,6,Dhoni,Saini,3,No,M Chinnaswamy
1,2,1,Dhoni,Chahar,2,No,MA Chidambaram
1,2,2,Gaikwad,Patel,6,No,M Chinnaswamy
1,2,3,Jadeja,Saini,1,No,MA Chidambaram
1,2,4,Moeen Ali,Rahul,4,No,Wankhede
1,2,5,Rahul,Rahul,1,No,Wankhede
1,2,6,Vijay,Chahar,3,No,Eden Gardens
1,3,1,Ruturaj,Boult,4,No,Eden Gardens
1,3,2,Jadeja,Archer,4,No,Wankhede
1,3,3,Ruturaj,Boult,4,No,M Chinnaswamy
1,3,4,Moeen Ali,Bumrah,3,No,Eden Gardens
1,3,5,Rahul,Rahul,6,No,Wankhede
1,3,6,Conway,Archer,2,No,Narendra Modi Stadium
1,4,1,Dhoni,Bumrah,6,No,Narendra Modi Stadium
1,4,2,Moeen Ali,Patel,3,No,Eden Gardens
1,4,3,Conway,Archer,6,No,Narendra Modi Stadium
1,4,4,Rahul,Shami,4,No,Narendra Modi Stadium
1,4,5,Jadeja,Boult,4,No,MA Chidambaram
1,4,6,Rayudu,Shami,4,No,MA Chidambaram
1,5,1,Rahul,Saini,1,No,MA Chidambaram
1,5,2,Vijay,Bumrah,1,No,Eden Gardens
1,5,3,Conway,Chahar,4,No,Narendra Modi Stadium
1,5,4,Moeen Ali,Shami,2,No,M Chinnaswamy
1,5,5,Conway,Archer,1,No,M Chinnaswamy
1,5,6,Mishra,Archer,2,No,Rajiv Gandhi Stadium
1,6,1,Moeen Ali,Saini,2,No,Wankhede
1,6,2,Moeen Ali,Bumrah,4,No,Narendra Modi Stadium
1,6,3,Ruturaj,Shami,0,Caught,Eden Gardens
1,6,4,Gaikwad,Jamieson,3,No,MA Chidambaram
1,6,5,Mishra,Saini,0,Caught,M Chinnaswamy
1,6,6,Rayudu,Boult,3,No,M Chinnaswamy
1,7,1,Vijay,Jamieson,0,No,Rajiv Gandhi Stadium
1,7,2,Rayudu,Bumrah,6,No,Eden Gardens
1,7,3,Rahul,Shami,2,No,Narendra Modi Stadium
1,7,4,Conway,Saini,1,No,MA Chidambaram
1,7,5,Ruturaj,Archer,2,No,Wankhede
1,7,6,Vijay,Jamieson,1,No,Eden Gardens
1,8,1,Conway,Patel,2,No,MA Chidambaram
1,8,2,Ruturaj,Chahar,3,No,Eden Gardens
1,8,3,Vijay,Boult,6,No,Wankhede
1,8,4,Conway,Jamieson,6,No,Wankhede
1,8,5,Rahul,Thakur,2,No,M Chinnaswamy
1,8,6,Jadeja,Saini,2,No,M Chinnaswamy
1,9,1,Vijay,Bumrah,0,Run Out,M Chinnaswamy
1,9,2,Jadeja,Thakur,0,Caught,Wankhede
